#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 2.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
   5  0.115383  3.5068  5.2523 -2.7714 16.9178 15.3606 13.7464 12.6396 11.1893  9.7765  9.2342  8.9933 12.5937 14.4173
   6  0.133536  3.5069  5.1874 -2.6428 16.5464 15.0235 13.4223 12.3175 10.8702  9.4551  8.9143  8.6719 12.2726 14.0830
   7  0.167255  3.5095  5.1092 -2.4564 15.9568 14.4909 12.9150 11.8239 10.3981  8.9955  8.4554  8.2130 11.7872 13.5606
   8  0.219701  3.5182  5.0473 -2.2416 15.1801 13.7882 12.2557 11.2006  9.8360  8.4801  7.9356  7.6983 11.1878 12.8835
   9  0.274053  3.5261  5.0013 -2.0679 14.5582 13.2161 11.7185 10.6935  9.3809  8.0659  7.5150  7.2828 10.6999 12.3340
  10  0.301214  3.5297  4.9797 -1.9905 14.2886 12.9643 11.4817 10.4694  9.1791  7.8818  7.3270  7.0972 10.4837 12.0927
  11  0.310202  3.5309  4.9705 -1.9639 14.1980 12.8793 11.4015 10.3932  9.1100  7.8183  7.2621  7.0330 10.4098 12.0110
  12  0.315397  3.5315  4.9633 -1.9470 14.1426 12.8273 11.3525 10.3462  9.0666  7.7776  7.2206  6.9919 10.3641 11.9609
  13  0.318923  3.5320  4.9572 -1.9342 14.1006 12.7880 11.3155 10.3108  9.0338  7.7467  7.1890  6.9606 10.3296 11.9231
  14  0.321561  3.5322  4.9516 -1.9241 14.0697 12.7591 11.2882 10.2841  9.0083  7.7220  7.1639  6.9356 10.3033 11.8950
  15  0.323187  3.5324  4.9478 -1.9172 14.0477 12.7386 11.2688 10.2654  8.9909  7.7054  7.1471  6.9188 10.2850 11.8751
  16  0.324794  3.5326  4.9445 -1.9110 14.0278 12.7199 11.2511 10.2483  8.9750  7.6902  7.1316  6.9035 10.2683 11.8571
  17  0.326116  3.5328  4.9417 -1.9056 14.0110 12.7041 11.2361 10.2337  8.9614  7.6773  7.1186  6.8906 10.2541 11.8417
  18  0.327698  3.5329  4.9388 -1.8996 13.9924 12.6869 11.2194 10.2175  8.9465  7.6628  7.1043  6.8761 10.2382 11.8249
  19  0.331068  3.5331  4.9350 -1.8897 13.9606 12.6573 11.1912 10.1900  8.9214  7.6387  7.0805  6.8524 10.2115 11.7961
  20  0.442230  3.5520  4.8472 -1.6023 12.9622 11.6915 10.2788  9.3314  8.1677  6.9715  6.3841  6.1660  9.3887 10.8782
  21  0.460020  3.5559  4.8294 -1.5520 12.7915 11.5197 10.1138  9.1755  8.0344  6.8571  6.2636  6.0473  9.2404 10.7155
  22  0.476080  3.5597  4.8132 -1.5055 12.6328 11.3593  9.9594  9.0300  7.9124  6.7525  6.1529  5.9388  9.1028 10.5634
  23  0.490584  3.5635  4.7988 -1.4630 12.4862 11.2096  9.8147  8.8945  7.8019  6.6575  6.0520  5.8403  8.9754 10.4212
  24  0.503423  3.5670  4.7865 -1.4251 12.3539 11.0730  9.6823  8.7710  7.7030  6.5733  5.9621  5.7532  8.8598 10.2916
  25  0.513716  3.5702  4.7768 -1.3941 12.2453 10.9601  9.5724  8.6686  7.6225  6.5052  5.8893  5.6831  8.7644 10.1846
  26  0.523119  3.5732  4.7681 -1.3655 12.1455 10.8554  9.4705  8.5734  7.5480  6.4427  5.8223  5.6189  8.6757 10.0857
  27  0.533368  3.5765  4.7590 -1.3344 12.0368 10.7400  9.3578  8.4682  7.4666  6.3750  5.7495  5.5498  8.5780  9.9770
  28  0.546584  3.5810  4.7476 -1.2944 11.8980 10.5910  9.2118  8.3317  7.3621  6.2887  5.6563  5.4618  8.4514  9.8370
